Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-13 11-PM,BTCUSD,9324.62,9365.39,9300,9315.5,302.92,2824547.46
2020-05-13 12-AM,BTCUSD,8825.46,8951.56,8804.47,8945.21,515.3,4589255.51
2020-05-13 12-PM,BTCUSD,9042.44,9115.81,8992.6,9094.88,1060.49,9611865.97
2020-05-14 01-AM,BTCUSD,9304.17,9337.37,9266.39,9275.35,302.76,2816364.64
2020-05-14 01-PM,BTCUSD,9591.99,9651.63,9531.48,9628.58,529.5,5079407.47
2020-05-14 02-AM,BTCUSD,9275.35,9341.04,9254.85,9338.93,212.36,1974774.87
2020-05-14 02-PM,BTCUSD,9628.58,9766,9606.45,9704.56,1024.34,9963970.18
2020-05-14 03-AM,BTCUSD,9338.93,9360.88,9311.11,9352.1,180.33,1683393.7
2020-05-14 03-PM,BTCUSD,9704.56,9767.51,9661.47,9754.94,429.57,4172312.65
2020-05-14 04-AM,BTCUSD,9352.1,9358.44,9301.33,9316.27,157.53,1469060.86
2020-05-14 04-PM,BTCUSD,9754.94,9793.37,9611.27,9678.81,855.25,8280263.42
2020-05-14 05-AM,BTCUSD,9316.27,9460.3,9269.44,9443.84,596.1,5587901.79
2020-05-14 05-PM,BTCUSD,9678.81,9682.87,9578,9617.35,556.98,5363450.35
2020-05-14 06-AM,BTCUSD,9443.84,9480.84,9406.21,9451.66,548.24,5178241.65
2020-05-14 06-PM,BTCUSD,9617.35,9686.84,9583.02,9676.19,342.61,3305646.8
2020-05-14 07-AM,BTCUSD,9451.66,9554.46,9419.02,9515.41,717.94,6819742.06
2020-05-14 07-PM,BTCUSD,9676.19,9724.35,9651.71,9662.11,572.95,5556264.62
2020-05-14 08-AM,BTCUSD,9515.41,9657.61,9484.2,9614.22,734.85,7026051.23
2020-05-14 08-PM,BTCUSD,9662.11,9870,9602.9,9652.83,1992.5,19408630.69
2020-05-14 09-AM,BTCUSD,9614.22,9828.05,9613.18,9811.98,2146.29,20879736.4
2020-05-14 09-PM,BTCUSD,9652.83,9785.79,9611.3,9784.18,934.6,9099208.29
2020-05-14 10-AM,BTCUSD,9811.98,9945.34,9582.6,9652.99,3344.67,32553741.28
2020-05-14 10-PM,BTCUSD,9784.18,9822.12,9715,9753.75,1063.32,10405145.39
2020-05-14 11-AM,BTCUSD,9652.99,9776.66,9650,9677.92,846.58,8228688.52
2020-05-14 11-PM,BTCUSD,9753.75,9856.18,9734.55,9793.5,446.52,4378717.37
2020-05-14 12-AM,BTCUSD,9315.5,9394.12,9293.79,9304.17,338.19,3157843.59
2020-05-14 12-PM,BTCUSD,9677.92,9714.09,9519.53,9591.99,1062.22,10205889.35
2020-05-15 01-AM,BTCUSD,9767.57,9776.03,9723.04,9744.86,146.45,1428603.77
2020-05-15 01-PM,BTCUSD,9513.78,9571,9479.83,9533.96,560.86,5353835.77
2020-05-15 02-AM,BTCUSD,9744.86,9744.86,9215.65,9495.03,2800.92,26620162.65
2020-05-15 02-PM,BTCUSD,9533.96,9614.52,9533.96,9566.75,343.16,3289441.83
2020-05-15 03-AM,BTCUSD,9495.03,9560.21,9433.33,9475.26,493.93,4690507.23
2020-05-15 03-PM,BTCUSD,9566.75,9566.75,9411.6,9467.73,1724.47,16312489.98
