Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-05-25,BTCUSD,7999.02,8158.45,7939.76,8064.64,3361.65,27074799.57
2019-05-26,BTCUSD,8064.64,8802.29,7888.91,8733.26,8526.81,71863220.7
2019-05-27,BTCUSD,8733.26,8939.18,8653.68,8770.73,8948.02,78657195.1
2019-05-28,BTCUSD,8770.73,8817.41,8540.94,8717.96,6144.01,53514184.13
2019-05-29,BTCUSD,8717.96,8762.39,8421.12,8663.41,7584.26,65411714.73
2019-05-30,BTCUSD,8663.41,9096.79,8000,8277.76,15259.59,130901794.23
2019-05-31,BTCUSD,8277.76,8589.99,8109.74,8547.2,9957.91,83009912.02
2019-06-01,BTCUSD,8547.2,8624.72,8457.33,8556.27,5167.05,44144370.37
2019-06-02,BTCUSD,8556.27,8833.97,8546.01,8734.49,4263.04,37098988.77
2019-06-03,BTCUSD,8734.49,8745.96,8049.22,8103.64,9955.03,84089274.15
2019-06-04,BTCUSD,8103.64,8103.64,7432.84,7665.53,15485.7,120977317.96
2019-06-05,BTCUSD,7665.53,7924.48,7570.9,7785.94,9193.71,71403852.94
2019-06-06,BTCUSD,7785.94,7878.62,7449.68,7806.07,8738.67,67238735.51
2019-06-07,BTCUSD,7806.07,8134.99,7758.93,8001.25,9012.1,71665291.08
2019-06-08,BTCUSD,8001.25,8061.12,7777.67,7932.27,4870.12,38536604.55
2019-06-09,BTCUSD,7932.27,7966.58,7511.41,7632.99,3895.85,30121891.88
2019-06-10,BTCUSD,7632.99,8090,7523.16,8021.1,7150.59,56100688.22
2019-06-11,BTCUSD,8021.1,8057.32,7713.34,7919.1,5552.69,43736594.89
2019-06-12,BTCUSD,7919.1,8266,7821.73,8176.27,8577.16,69114902.53
2019-06-13,BTCUSD,8176.27,8335.56,8049.22,8238,7237.8,59224703.04
2019-06-14,BTCUSD,8238,8737.37,8174.92,8697.54,8678.25,72939450.9
2019-06-15,BTCUSD,8697.54,8911.98,8623.52,8857.19,5275.75,46136638.05
2019-06-16,BTCUSD,8857.19,9391.85,8805,8974.19,15018.85,136949106.53
2019-06-17,BTCUSD,8974.19,9477.7,8973.02,9333.48,12760.96,118055249.83
2019-06-18,BTCUSD,9333.48,9361.87,8918,9078.84,11327.45,103380451.5
2019-06-19,BTCUSD,9078.84,9325.85,9036.19,9278.27,4687.26,42898235.43
2019-06-20,BTCUSD,9278.27,9600,9211.08,9534.99,7870.32,73844684.38
2019-06-21,BTCUSD,9534.99,10229.49,9534.97,10222.12,12553.1,123290085.49
2019-06-22,BTCUSD,10222.12,11200,10085.5,10661.3,13709.3,146874837.08
2019-06-23,BTCUSD,10661.3,11247.62,10483.33,10831.95,7270.65,78614343.38
2019-06-24,BTCUSD,10831.95,11099,10551.51,11029.63,8247.39,89425712.76
2019-06-25,BTCUSD,11029.63,11796.37,11000.02,11751.01,12133.57,137485305.05
2019-06-26,BTCUSD,11751.01,13880,11647.07,12920.54,37487.8,476983027.94
2019-06-27,BTCUSD,12920.54,13355.61,10300,11153.74,36106.96,417050294.03
